delta_0;theta_0;alpha_0;beta_0;gamma_0;delta_1;theta_1;alpha_1;beta_1;gamma_1;delta_2;theta_2;alpha_2;beta_2;gamma_2;delta_3;theta_3;alpha_3;beta_3;gamma_3;delta_4;theta_4;alpha_4;beta_4;gamma_4;delta_5;theta_5;alpha_5;beta_5;gamma_5;delta_6;theta_6;alpha_6;beta_6;gamma_6;delta_7;theta_7;alpha_7;beta_7;gamma_7;delta_8;theta_8;alpha_8;beta_8;gamma_8;delta_9;theta_9;alpha_9;beta_9;gamma_9;delta_10;theta_10;alpha_10;beta_10;gamma_10;delta_11;theta_11;alpha_11;beta_11;gamma_11;delta_12;theta_12;alpha_12;beta_12;gamma_12;delta_13;theta_13;alpha_13;beta_13;gamma_13;delta_14;theta_14;alpha_14;beta_14;gamma_14;delta_15;theta_15;alpha_15;beta_15;gamma_15;ACTION
6.1422415;0.9791723;0.4700529;1.1167608;2.9726534;0.44425616;0.31236845;0.1678611;0.30369666;0.106831126;3.2192245;0.30803505;0.19267629;0.33745444;0.1717851;10.106737;1.8099133;0.30909055;1.0739684;4.103577;1.0506749;0.39050248;0.16866657;0.335237;0.17211725;4.128402;1.6042886;0.2609438;0.5012119;1.805854;3.4915023;1.4120657;0.30918452;0.6802847;0.967161;4.3481917;2.6885157;1.3539075;0.8979115;0.3276986;1.4842622;1.428269;4.255051;0.7712069;0.2757942;2.8350093;1.0036664;0.5320445;0.35835916;0.11745084;0.29507923;0.2459257;0.19285996;0.29774016;0.14325224;0.35516053;0.24912018;0.18853898;0.30691233;0.09717376;1.5194515;0.49536452;0.28335804;0.32587728;0.12960094;6.177554;0.4423997;0.24048856;0.50658107;0.5579083;8.009404;0.86619955;0.47852728;0.8044538;2.467132;34.51278;2.2799833;0.73035985;0.9829755;2.2099996;5
6.0940123;1.0285981;0.5876195;1.3532176;3.2943087;1.2695677;0.4626772;0.21911615;0.5408588;0.0849678;4.5161;0.41506755;0.2953866;0.46348456;0.15222172;27.8277;3.0472026;0.38046068;1.1282188;4.24128;1.004238;0.4919789;0.2678737;0.47480237;0.1525496;7.412345;1.7915804;0.43863726;0.61691725;1.7785548;7.819118;1.4341948;0.57408434;0.903382;0.9915078;8.193436;3.059157;1.4221907;1.1026644;0.31126782;5.3317857;1.5716577;2.5097964;1.053339;0.27253878;3.2061176;1.623221;0.5963156;0.45357457;0.09955923;0.5166036;0.29650116;0.28585723;0.4314628;0.13253248;0.34993106;0.28726566;0.24917395;0.43873993;0.08207937;2.508356;0.50570357;0.30695194;0.4795964;0.11451011;4.5868816;0.71976244;0.33443588;0.55530274;0.5775093;25.767506;0.87758195;1.0231553;0.9945974;2.6495328;74.38616;2.393931;0.29404312;1.3619254;2.563037;5
5.941218;1.0443784;0.6000184;1.3640026;3.320277;1.408484;0.48176557;0.2240075;0.56907046;0.08424788;4.613014;0.41936514;0.30368888;0.47107983;0.15068556;29.0147;2.9897087;0.38240325;1.1272781;4.245655;1.0344968;0.49717778;0.28193414;0.48638347;0.15091382;7.528924;1.8261366;0.4611703;0.6232805;1.7802593;8.097345;1.4194329;0.60918826;0.92085564;0.99217117;8.60704;3.0569878;1.4564769;1.098065;0.31005484;5.7510734;1.5418189;2.4472377;1.0744847;0.27373037;3.1619723;1.6520514;0.58996063;0.4555798;0.09961132;0.5478791;0.3014179;0.29269817;0.4433954;0.13290386;0.3656538;0.29192388;0.25445044;0.44889322;0.08214267;2.5914006;0.4923714;0.30720362;0.4906751;0.11418986;4.498986;0.75860363;0.33781695;0.55123085;0.5807249;27.390457;0.84783804;1.071907;1.0161151;2.6655483;78.116295;2.281573;0.28260377;1.3888562;2.5814915;5
5.762792;1.0629326;0.6119476;1.3725908;3.342371;1.5587746;0.5014491;0.22945657;0.59693354;0.08369374;4.69525;0.42332265;0.3110343;0.4782722;0.1491593;30.080154;2.9105167;0.38513827;1.1261501;4.246732;1.0655051;0.5029381;0.2970608;0.49797806;0.14918822;7.6044903;1.862546;0.48641336;0.6290614;1.7820442;8.34546;1.4067278;0.64622605;0.9383484;0.99199396;9.027213;3.050544;1.4904995;1.0913291;0.30925748;6.150841;1.5115741;2.4180586;1.0965598;0.27498925;3.107929;1.6744994;0.58353156;0.45673752;0.099911645;0.57900107;0.30645278;0.30064878;0.4555564;0.13340154;0.38193417;0.2964419;0.26043478;0.45874873;0.08240852;2.66626;0.4785382;0.30893633;0.50110525;0.114135124;4.3860717;0.79816127;0.3422128;0.5476836;0.5836426;28.90378;0.8305777;1.1200539;1.0369614;2.6792433;81.553185;2.1747518;0.27103552;1.4125777;2.5951421;5
5.561411;1.0840621;0.62344205;1.379068;3.3598902;1.7195442;0.52173537;0.23565234;0.62408006;0.083422974;4.761348;0.4276879;0.31925127;0.4852446;0.1478568;31.00446;2.8105109;0.38771477;1.125602;4.2445006;1.0956475;0.5092784;0.3130332;0.50936097;0.14773726;7.639533;1.8999938;0.51398367;0.63390714;1.7836765;8.560251;1.4004366;0.68407273;0.95515597;0.9913032;9.44395;3.0416732;1.523695;1.0810342;0.30912912;6.5198383;1.4818186;2.4163976;1.1187297;0.27622113;3.0462701;1.6894706;0.57733554;0.45758283;0.1003359;0.6091709;0.3111243;0.30920863;0.46716288;0.13395032;0.39842954;0.3004581;0.26660365;0.46835047;0.082765475;2.731115;0.46314782;0.31083387;0.51119316;0.114229135;4.2524505;0.83418226;0.34658623;0.5437794;0.5859367;30.269978;0.8200134;1.1672794;1.059508;2.6899776;84.61718;2.0656412;0.26459444;1.4329854;2.602724;5
5.341307;1.1068971;0.6336695;1.3829556;3.3726983;1.8892804;0.5424137;0.24231455;0.64982915;0.08319941;4.8092813;0.43226904;0.3280308;0.49239278;0.14657336;31.77193;2.692158;0.39028576;1.1255511;4.238296;1.1223105;0.5161848;0.32917693;0.5196844;0.14613548;7.633872;1.937605;0.5432846;0.6383927;1.7851182;8.752796;1.4060187;0.7210494;0.9706251;0.9893761;9.838734;3.0348206;1.5531371;1.0658542;0.308883;6.851391;1.4588358;2.432981;1.1405313;0.27755395;2.9804251;1.6967345;0.5706329;0.45824292;0.10093209;0.6375718;0.31575376;0.31799513;0.47774917;0.13465318;0.4147261;0.30414125;0.2728755;0.47700197;0.08330334;2.78439;0.44791216;0.31355706;0.51992357;0.114638284;4.1160436;0.8700658;0.3508215;0.53984636;0.58804697;31.4471;0.81593966;1.2162286;1.0809945;2.6976292;87.23376;1.9556649;0.2593501;1.4489704;2.6047087;5
5.106288;1.130856;0.6429009;1.3840517;3.3799639;2.0661688;0.56314546;0.24952346;0.6739191;0.08326935;4.838947;0.43691137;0.33786726;0.5002801;0.1456089;32.372932;2.5617528;0.3935122;1.1260769;4.2284007;1.1457763;0.5237143;0.34563702;0.5286964;0.14485803;7.589832;1.9797535;0.5724241;0.64260036;1.7863526;8.914074;1.4213642;0.7572638;0.9841015;0.9866793;10.204899;3.0289955;1.579539;1.0469381;0.30917123;7.1325245;1.4379075;2.4673395;1.1613013;0.2788089;2.9132404;1.6958841;0.5627183;0.45860964;0.10164652;0.6637759;0.3202887;0.3268212;0.4871004;0.13539608;0.43060163;0.3074041;0.27938634;0.48439005;0.08392984;2.8231528;0.43265122;0.31694153;0.52755;0.115196735;4.003276;0.9070326;0.3544716;0.53532207;0.5895463;32.397144;0.8182425;1.2651491;1.1016171;2.7019396;89.33058;1.8487728;0.25574574;1.4599968;2.6008465;5
4.8648934;1.1537683;0.6501562;1.3822123;3.3821902;2.2478626;0.5836692;0.25731266;0.6955166;0.083547644;4.852273;0.4402206;0.3480665;0.5078127;0.14513409;32.79746;2.4314346;0.39747342;1.1271025;4.2157044;1.1659343;0.5315684;0.36227563;0.53610665;0.14382567;7.5138474;2.0272546;0.6016556;0.6463528;1.787122;9.03144;1.4448612;0.7916953;0.99568975;0.9834927;10.531427;3.0285647;1.6014359;1.0246518;0.30956456;7.3548408;1.4174656;2.5165303;1.1813825;0.27993926;2.846828;1.6865367;0.5533279;0.45859733;0.10241697;0.6871589;0.32474607;0.33558348;0.49502587;0.13613293;0.44561917;0.31025204;0.28602695;0.49034163;0.084598556;2.8458135;0.41767654;0.32112485;0.53427935;0.1158186;3.9216917;0.9441909;0.35756484;0.5311179;0.5902323;33.087738;0.8259362;1.3131615;1.120022;2.7028205;90.84644;1.7476948;0.2545448;1.4656831;2.5914223;5
4.6192565;1.1780763;0.65645856;1.3770216;3.3787556;2.4313304;0.6029081;0.26540828;0.7143683;0.08420017;4.8522034;0.44276613;0.35847086;0.5155928;0.14490208;33.03823;2.3296304;0.40218008;1.1287869;4.199846;1.1821244;0.53980327;0.37863106;0.5416605;0.14307089;7.4090667;2.0815961;0.6310987;0.6487553;1.7871717;9.098335;1.4760756;0.8233014;1.0048667;0.97962403;10.806551;3.031518;1.6195337;0.9984263;0.31024775;7.5111003;1.3974473;2.577672;1.1997132;0.28091583;2.7822592;1.6688374;0.54493266;0.45796642;0.1032595;0.70706564;0.32916674;0.34377912;0.50153685;0.13686526;0.45929825;0.3126456;0.2923653;0.49485937;0.08534536;2.8521562;0.4028252;0.3255446;0.5396215;0.11647424;3.8685215;0.97873217;0.36000407;0.5263401;0.59007907;33.494617;0.83839333;1.3582112;1.1358528;2.7002463;91.73471;1.647376;0.25514448;1.4660801;2.576919;5
4.383389;1.2132367;0.6611859;1.3689377;3.3693457;2.6127248;0.6188665;0.27296963;0.7296577;0.08496277;4.838934;0.4446143;0.36911017;0.5234855;0.1449429;33.09541;2.2604477;0.4072251;1.1310798;4.1816664;1.1937534;0.54849225;0.39399645;0.5461693;0.14248866;7.2778172;2.1387794;0.6599807;0.6503419;1.7862201;9.112155;1.5143237;0.85144234;1.0118903;0.9751608;11.020142;3.0377297;1.6323091;0.9705612;0.310873;7.596381;1.3764857;2.6489315;1.2176976;0.28164375;2.7174203;1.6437094;0.53623974;0.45742944;0.10406111;0.7232709;0.33376923;0.35092553;0.5069156;0.13750196;0.4709679;0.31463596;0.2979511;0.4982696;0.086048566;2.8428793;0.387714;0.33014125;0.54392546;0.117074564;3.8415244;1.0089304;0.361784;0.52174824;0.58907413;33.60162;0.85566604;1.3998892;1.1489466;2.694439;91.957214;1.5592852;0.25729525;1.4609944;2.557994;5
