delta_0;theta_0;alpha_0;beta_0;gamma_0;delta_1;theta_1;alpha_1;beta_1;gamma_1;delta_2;theta_2;alpha_2;beta_2;gamma_2;delta_3;theta_3;alpha_3;beta_3;gamma_3;delta_4;theta_4;alpha_4;beta_4;gamma_4;delta_5;theta_5;alpha_5;beta_5;gamma_5;delta_6;theta_6;alpha_6;beta_6;gamma_6;delta_7;theta_7;alpha_7;beta_7;gamma_7;delta_8;theta_8;alpha_8;beta_8;gamma_8;delta_9;theta_9;alpha_9;beta_9;gamma_9;delta_10;theta_10;alpha_10;beta_10;gamma_10;delta_11;theta_11;alpha_11;beta_11;gamma_11;delta_12;theta_12;alpha_12;beta_12;gamma_12;delta_13;theta_13;alpha_13;beta_13;gamma_13;delta_14;theta_14;alpha_14;beta_14;gamma_14;delta_15;theta_15;alpha_15;beta_15;gamma_15;ACTION
0.063756555;0.4619482;0.22247572;0.7007665;0.18455003;0.04740374;0.30570647;0.1706198;0.5368097;0.117512494;0.04131344;0.31937873;0.32023513;0.70026207;0.1911901;0.05778234;0.48420894;0.2423999;0.70316124;0.17719467;0.07680464;0.28174004;0.24589624;0.42772505;0.1561703;0.072025135;0.37664023;0.22628003;0.5797935;0.13077061;0.13812667;0.418249;0.47061864;0.76475996;0.345429;0.06452182;0.4204833;0.27037677;0.6008665;0.17395328;0.28029385;0.4973527;0.24406976;0.67654496;0.16461627;0.047076542;0.4231433;0.223621;0.47317767;0.10906457;0.111291386;0.33631003;0.19176741;0.55044216;0.12988365;0.07374471;0.6158698;0.17042223;0.5850565;0.14049943;0.061313055;0.3194721;0.24681222;0.65300274;0.16533495;0.048454262;0.28764567;0.21434724;0.47375178;0.12410729;0.88295484;2.7744892;0.70585436;2.4727054;1.6433376;1.0098826;12.524617;1.4911636;1.8218759;0.86475486;1000
0.03848563;0.30028296;0.21209526;0.44242978;0.16351669;0.027178314;0.21485603;0.20260462;0.33543774;0.09948224;0.014709098;0.11584384;0.3357789;0.44166657;0.17094353;0.017722584;0.1618163;0.21832907;0.4313142;0.14816068;0.051660396;0.24944107;0.2584149;0.30202848;0.1348457;0.04977736;0.20605789;0.28953105;0.3281714;0.122361615;0.028415658;0.34847805;0.3956011;0.46600458;0.29561532;0.04215248;0.27780318;0.31873846;0.40487087;0.17510825;0.12365998;0.2562123;0.2609502;0.35400707;0.14928631;0.024619717;0.22613901;0.23978299;0.2918825;0.103629686;0.06777203;0.21987405;0.21713296;0.30930042;0.12477551;0.07052581;0.44707775;0.2030268;0.33592775;0.13116816;0.02826792;0.210697;0.24852811;0.4219358;0.15038243;0.018368512;0.17501824;0.2245762;0.3096386;0.1166452;0.19400725;0.6139984;0.46174988;1.5007341;1.3824593;0.2148157;4.545922;1.4356542;1.2230222;0.7317272;1000
0.03801251;0.29475486;0.21218695;0.4266811;0.16333675;0.026868867;0.21247691;0.20587094;0.32334587;0.09889997;0.014476551;0.11234803;0.33145538;0.42257613;0.1710138;0.016699871;0.15537257;0.21529803;0.412613;0.14803737;0.050484158;0.2488037;0.2597458;0.29289132;0.13467069;0.049038827;0.20127876;0.30094436;0.3128402;0.12405735;0.025937349;0.34913197;0.39304423;0.45256123;0.29322928;0.040997617;0.27273667;0.32923064;0.3867259;0.1761375;0.12074035;0.25339627;0.2683429;0.3372428;0.15007569;0.023794157;0.21912058;0.2420985;0.2812301;0.10422702;0.06699367;0.21774794;0.22255261;0.2952261;0.12575938;0.070513375;0.43517378;0.20723642;0.32753116;0.13152015;0.027668258;0.20879133;0.25185058;0.40592012;0.15092131;0.017450703;0.17232165;0.22413442;0.30067632;0.11711878;0.17391942;0.57634676;0.46171188;1.4496683;1.3813149;0.20202596;4.3430767;1.4318957;1.1881412;0.7288783;1000
0.037545376;0.2899059;0.21215029;0.4133272;0.16339515;0.026616873;0.21067043;0.20870847;0.31269655;0.09855823;0.014337741;0.11020399;0.32602435;0.40567935;0.1713157;0.015792215;0.15064804;0.21203649;0.39571512;0.148236;0.049303744;0.24826439;0.26066703;0.2848311;0.13485846;0.04822846;0.1978266;0.31299543;0.29959515;0.12594283;0.023779493;0.34922808;0.39079803;0.44053483;0.29143184;0.039763294;0.2682898;0.34025124;0.36955947;0.17716053;0.1178355;0.2516609;0.27513766;0.3233355;0.15104984;0.022982819;0.21380246;0.24425916;0.2719822;0.104893446;0.06612296;0.21623425;0.22741412;0.28336576;0.1268499;0.07024256;0.4228944;0.21122116;0.3207537;0.13193578;0.027056908;0.20769869;0.2547926;0.39117613;0.1516485;0.016613105;0.17026398;0.22293575;0.29285446;0.11767414;0.15490474;0.5460429;0.4611633;1.4032778;1.3821032;0.19141492;4.160588;1.4222068;1.1587296;0.7270777;1000
0.037091296;0.28545728;0.21178052;0.4020667;0.16374092;0.026546016;0.20924439;0.2112699;0.3040957;0.09846994;0.014293894;0.10911523;0.32047105;0.39189628;0.17178749;0.015086212;0.14712533;0.20882347;0.3813506;0.14872383;0.048098877;0.2477299;0.26129624;0.27814993;0.13531801;0.047342762;0.19554275;0.3253794;0.2882375;0.12809034;0.021946255;0.34862003;0.38891822;0.42971218;0.2902103;0.03846091;0.26427877;0.35153076;0.35410854;0.17821325;0.11487246;0.2508237;0.2812211;0.31237826;0.15211831;0.022200026;0.2098715;0.24651948;0.2644569;0.10552767;0.065107144;0.21516144;0.23165488;0.27449805;0.1279622;0.06969112;0.41024572;0.21484868;0.31543425;0.1323034;0.026404075;0.20724966;0.2572359;0.37853095;0.1524598;0.015891703;0.16863847;0.22119807;0.2868802;0.11819889;0.13739824;0.5204422;0.46068636;1.3626463;1.3846517;0.18278354;4.001929;1.405416;1.1342878;0.7261315;1000
0.036556523;0.2813138;0.2110043;0.3925073;0.16416615;0.026533943;0.20812847;0.21339409;0.29714602;0.09848452;0.014302343;0.10900611;0.31464562;0.38054612;0.17218973;0.014472313;0.14477102;0.20615672;0.36882833;0.14927278;0.04679965;0.24711744;0.2621204;0.27283022;0.13591707;0.04631479;0.19438267;0.337779;0.27851683;0.13023946;0.02031602;0.34706697;0.3869783;0.42090195;0.28956816;0.03703428;0.26064894;0.36271805;0.34056866;0.17909732;0.11176972;0.2508263;0.2864249;0.30390185;0.15325141;0.02140235;0.20737717;0.2486628;0.2579387;0.10610802;0.06392342;0.21451451;0.23517388;0.26801255;0.12907442;0.068788;0.39767596;0.21800256;0.31138703;0.1326418;0.025689162;0.20743231;0.25900275;0.36754158;0.1532962;0.015235801;0.16744697;0.22001614;0.28237998;0.11869695;0.121815175;0.49907827;0.4594151;1.3256505;1.3886105;0.17568634;3.8655136;1.3835353;1.1140482;0.72572374;1000
0.03592914;0.2776107;0.20988676;0.38503385;0.16469394;0.026565596;0.2074309;0.21498019;0.29205826;0.09859996;0.014342357;0.10985153;0.30804452;0.37286025;0.17273408;0.013950527;0.14367527;0.20458202;0.35901603;0.14994887;0.04527314;0.24648997;0.26342294;0.26914585;0.13667938;0.045057405;0.19443771;0.34997305;0.27230796;0.13244154;0.018897943;0.34457147;0.38509062;0.41383106;0.28934878;0.035439853;0.25751024;0.37371916;0.33060518;0.17995353;0.10845563;0.25176838;0.2906488;0.29803535;0.15443927;0.020501552;0.20626824;0.2507607;0.25307757;0.10666808;0.06250983;0.21439092;0.2379015;0.26425278;0.13016817;0.06752241;0.385596;0.2207487;0.30876103;0.13295898;0.024851235;0.20833828;0.259993;0.35868588;0.15416053;0.014579697;0.16670094;0.21928337;0.27973813;0.11920602;0.10720751;0.48131052;0.45736217;1.2955489;1.3938391;0.16995814;3.751164;1.3575158;1.0988905;0.7259675;1000
0.035266016;0.27429667;0.2085407;0.3796461;0.16519153;0.02670846;0.20718971;0.21603628;0.2891103;0.0987736;0.014410237;0.11141515;0.30120245;0.3679067;0.17324266;0.013535089;0.14373267;0.20404413;0.35235652;0.15064028;0.043619987;0.2458525;0.26459923;0.2669601;0.13757473;0.04369368;0.19557309;0.36160108;0.2690571;0.13464078;0.017693035;0.34098083;0.38307777;0.4082473;0.2896309;0.033753548;0.25482988;0.38400435;0.32340014;0.18077318;0.10499882;0.253517;0.2938243;0.29476115;0.15564507;0.01959917;0.20647445;0.25257647;0.25017297;0.1071756;0.060952775;0.21470888;0.23981531;0.2630371;0.13122572;0.06591908;0.3741899;0.22314397;0.30765423;0.13325417;0.02398886;0.2099509;0.26006103;0.35210508;0.15506206;0.014013138;0.166319;0.21836396;0.27903363;0.11969678;0.094217025;0.46748295;0.45394766;1.2703484;1.4002266;0.16566607;3.6542025;1.329123;1.088731;0.72680295;1000
0.034504116;0.27127546;0.20703581;0.37630427;0.16557865;0.026855804;0.20734158;0.21650378;0.28845197;0.098914675;0.014469681;0.11361737;0.29384083;0.36533007;0.17366235;0.013112734;0.14461729;0.20412864;0.3485176;0.15127721;0.041840605;0.245235;0.2652313;0.26605964;0.13849156;0.042210665;0.19771345;0.37235257;0.26782492;0.13668257;0.016552385;0.3365741;0.38059583;0.40409932;0.2901657;0.031902246;0.2525598;0.3935141;0.31870872;0.18149655;0.101459324;0.25621963;0.29586416;0.29396456;0.15681617;0.018708132;0.20789124;0.25406203;0.24931403;0.10762472;0.059321478;0.21557927;0.2408296;0.26393673;0.13220172;0.06396124;0.3638988;0.2252172;0.3081942;0.13351437;0.023140982;0.21222663;0.25918433;0.34783655;0.15594952;0.013448519;0.1665158;0.21701673;0.27980998;0.12015898;0.08341021;0.45690188;0.4492325;1.2499242;1.407418;0.16232163;3.5710719;1.2994065;1.0832934;0.7278863;1000
0.03381156;0.2684688;0.20573524;0.37491947;0.16576046;0.027053954;0.20781365;0.21662845;0.28966823;0.09896668;0.014532801;0.11631464;0.2863315;0.3647036;0.1738392;0.012848172;0.14608772;0.20435233;0.34683862;0.15173341;0.04010397;0.24439488;0.2652715;0.26630023;0.13937525;0.040738493;0.2006301;0.38266888;0.2683161;0.13844828;0.015827022;0.330978;0.37773857;0.4012201;0.2909546;0.030109476;0.2505675;0.40269732;0.3163943;0.18209825;0.09780703;0.25949848;0.29704353;0.29522648;0.15792733;0.017945983;0.20995808;0.25569263;0.25013486;0.10797587;0.057547767;0.21667254;0.24126348;0.26652274;0.13304842;0.061741862;0.35413375;0.22724426;0.31004152;0.13366662;0.022435725;0.21483582;0.25772363;0.3456416;0.15674573;0.013053769;0.16688746;0.21541387;0.28166652;0.12055059;0.074235134;0.44903713;0.4428166;1.234048;1.4152567;0.1597227;3.4995985;1.2692244;1.082626;0.7293151;1000
0.033196565;0.26619187;0.20485553;0.37545887;0.1658035;0.027231874;0.20864353;0.2166969;0.29228932;0.09897157;0.014609271;0.11943967;0.27896428;0.36586255;0.17385787;0.012718612;0.14820406;0.2044171;0.3468164;0.15205938;0.038407557;0.24351788;0.26491794;0.26760224;0.14018214;0.03918709;0.204448;0.39265093;0.27069885;0.13990127;0.015392481;0.32441086;0.37448606;0.3993983;0.29195082;0.028302586;0.24922545;0.41115946;0.31614208;0.18249938;0.09394489;0.26384103;0.29781944;0.2982958;0.15897937;0.01728808;0.21282865;0.25778368;0.2520598;0.10828518;0.055692323;0.21837053;0.24143332;0.27062374;0.13377742;0.059082385;0.34548512;0.22946413;0.31322992;0.13378124;0.021854836;0.21809877;0.25616392;0.34519854;0.15748066;0.012738489;0.16770174;0.2136921;0.28439653;0.120916896;0.066234946;0.44364506;0.434956;1.222504;1.4237064;0.15837288;3.436178;1.241535;1.086309;0.7310739;1000
0.03257966;0.26448706;0.20444196;0.37759778;0.16571003;0.02733301;0.20994286;0.216797;0.29578373;0.09886964;0.014733968;0.12281366;0.27168036;0.3681834;0.17371292;0.012696952;0.15077166;0.20425735;0.3479543;0.15227726;0.036866248;0.24278945;0.26428518;0.26955557;0.14084424;0.037677;0.20922205;0.4016184;0.27427623;0.14102843;0.01517099;0.31727764;0.37060598;0.3985912;0.2930215;0.026460452;0.24868919;0.4183661;0.31732872;0.18262875;0.08983485;0.26957014;0.2982853;0.3026003;0.15990277;0.016824286;0.21640837;0.260003;0.25483677;0.10849953;0.05409503;0.22090958;0.2413044;0.27584413;0.13433088;0.0565555;0.33820027;0.23182932;0.31729448;0.13383387;0.021466961;0.22207412;0.254427;0.34611422;0.1580469;0.012489525;0.16909021;0.21176966;0.28765664;0.121266685;0.05937372;0.44006318;0.42549625;1.2144648;1.432433;0.15820222;3.3796828;1.2198607;1.0939951;0.7330179;1000
