delta_0;theta_0;alpha_0;beta_0;gamma_0;delta_1;theta_1;alpha_1;beta_1;gamma_1;delta_2;theta_2;alpha_2;beta_2;gamma_2;delta_3;theta_3;alpha_3;beta_3;gamma_3;delta_4;theta_4;alpha_4;beta_4;gamma_4;delta_5;theta_5;alpha_5;beta_5;gamma_5;delta_6;theta_6;alpha_6;beta_6;gamma_6;delta_7;theta_7;alpha_7;beta_7;gamma_7;delta_8;theta_8;alpha_8;beta_8;gamma_8;delta_9;theta_9;alpha_9;beta_9;gamma_9;delta_10;theta_10;alpha_10;beta_10;gamma_10;delta_11;theta_11;alpha_11;beta_11;gamma_11;delta_12;theta_12;alpha_12;beta_12;gamma_12;delta_13;theta_13;alpha_13;beta_13;gamma_13;delta_14;theta_14;alpha_14;beta_14;gamma_14;delta_15;theta_15;alpha_15;beta_15;gamma_15;ACTION
273.82373;4.4460344;1.2049733;0.46562037;0.17591672;6.632823;0.58119017;0.24994573;0.390636;0.17508493;615.47003;7.5122433;0.55546415;0.590592;0.3788466;16826.207;229.93518;19.50994;4.792675;18.748709;179.09491;2.0889695;0.1955657;0.43972915;0.21296446;155.14966;2.167899;0.37883827;0.7054676;1.1652167;738.7895;15.384034;1.311678;0.79277045;0.7514637;213.2548;4.0616527;0.4251906;0.7550606;0.9609925;399.32056;4.9384513;1.5690223;0.61330855;0.31394437;311.6343;10.355117;1.6798583;0.78487515;1.0058645;60.593887;1.0179622;0.09703934;0.39079416;0.14543158;3.6186519;0.550115;0.13635717;0.35260418;0.119735606;15.7853155;0.76539224;0.1532997;0.40276593;0.18134527;184.73112;2.4241467;0.38729864;0.46659136;0.1373484;7500.699;98.12;9.0882015;2.2055936;2.9599252;2984.3582;39.597717;3.5508668;1.852983;3.7341895;1
225.78854;4.159588;1.2173388;0.41621417;0.16688794;2.4518714;0.53265756;0.19988975;0.41427794;0.1494931;524.48694;3.08751;0.33801046;0.5304978;0.47704273;16222.352;116.77893;16.097317;4.326908;11.982521;143.99669;1.0940589;0.12499625;0.4319263;0.27119955;173.58661;0.98451716;0.30537385;0.79662883;1.2843077;592.6094;7.133903;0.8279695;0.6263686;1.1127342;192.72435;2.3176682;0.3089739;0.76675236;1.0331181;337.51627;1.9740773;1.6490574;0.56451;0.39955857;291.04352;8.563549;1.3799194;0.7316518;1.1952467;45.46619;0.36757612;0.068291634;0.39264214;0.15018117;2.396648;0.5175072;0.1536264;0.37153363;0.11497846;6.9258637;0.47007287;0.14395674;0.380357;0.18811743;182.5714;2.2390053;0.39978227;0.4639903;0.14589846;7019.1597;46.8017;7.6153455;2.2050304;4.7084737;2729.231;26.953808;3.27673;1.8342905;4.1373234;1
223.86436;4.1552396;1.1871958;0.41096845;0.16538899;2.3955276;0.525536;0.19948384;0.4169641;0.1492096;523.87946;3.0460727;0.32976487;0.52818054;0.4893012;16272.821;116.54331;15.558444;4.4728622;11.985248;144.27827;1.1261439;0.12920944;0.4303398;0.27977145;176.16742;0.9583317;0.30126643;0.80888;1.3010893;590.6773;7.0852747;0.81142056;0.62436026;1.1524787;193.51112;2.2908173;0.3138382;0.773234;1.0473118;335.8519;1.9626764;1.6333357;0.5604183;0.40942276;291.17404;8.5264225;1.3242148;0.7389799;1.2073001;45.14075;0.3483181;0.06747697;0.39239913;0.15182507;2.3642063;0.506847;0.15202971;0.37199476;0.11468646;6.7111115;0.45267215;0.14118575;0.37830856;0.18955083;183.87515;2.2824898;0.39978012;0.461764;0.14651535;7031.1353;46.889027;7.338022;2.22954;4.8607316;2728.3164;26.929832;3.169369;1.8531641;4.2017093;1
221.54448;4.118616;1.15285;0.40935323;0.16538756;2.3580692;0.51796657;0.20003517;0.41901666;0.14952473;522.764;3.006396;0.31463036;0.5200919;0.49911585;16292.198;116.09619;14.62886;4.3897004;11.909819;144.47316;1.1575177;0.12576972;0.43037075;0.28844482;178.21574;0.94065195;0.27780437;0.819093;1.3186346;588.2954;7.1329036;0.781638;0.6279502;1.189743;193.85616;2.229654;0.30919987;0.7795687;1.0631157;333.8198;1.9308878;1.609544;0.55784714;0.41593564;290.78787;8.46769;1.2634487;0.7484346;1.2155983;44.81221;0.33167222;0.06713623;0.3912127;0.15308675;2.3289104;0.4940803;0.14893252;0.37171218;0.11496201;6.5092626;0.43541956;0.13636301;0.3755718;0.19152299;184.8013;2.3155715;0.3965518;0.46024796;0.14780527;7031.5103;46.81435;6.8572245;2.1666784;4.9598875;2720.9456;27.01473;3.0217223;1.8239795;4.254347;1
218.81915;4.0620174;1.1070122;0.40619192;0.16505773;2.3358328;0.5086083;0.20214774;0.4208541;0.15027118;520.88617;2.967784;0.3034756;0.5131854;0.50852686;16275.11;114.71403;13.856815;4.0169234;11.7572775;144.51645;1.1828092;0.12570038;0.4289705;0.29801077;179.64792;0.91006154;0.27554008;0.8282086;1.3364171;585.0271;7.207677;0.7583238;0.6297642;1.2252862;193.74007;2.176323;0.29769978;0.784408;1.0796263;331.30057;1.898472;1.5858216;0.55416054;0.42152727;289.67517;8.3874235;1.1954848;0.7573428;1.2201577;44.451122;0.31590575;0.06776408;0.38962445;0.15425475;2.291162;0.47587603;0.14765854;0.3715586;0.11521266;6.310373;0.41300905;0.1345816;0.37303594;0.19330172;185.30244;2.3312738;0.39459956;0.45754334;0.14961286;7017.372;46.403877;6.4112716;2.0522132;5.0292516;2705.9453;26.929129;2.9284253;1.8150831;4.313729;1
215.51779;3.9924717;1.0596105;0.404065;0.16501835;2.3224177;0.49706137;0.20222905;0.421423;0.15076925;517.81445;2.9197612;0.29962644;0.5060054;0.5182592;16208.642;113.28721;13.274997;3.7078185;11.603534;144.34451;1.1921114;0.1292441;0.42526227;0.30575866;180.37842;0.8825606;0.2682175;0.83528924;1.3527646;580.3876;7.1656027;0.7576666;0.6392088;1.2562381;193.09953;2.1083853;0.29434976;0.78914124;1.0951188;328.01743;1.8688645;1.5668588;0.54808563;0.42717722;287.4597;8.275611;1.1370625;0.7728581;1.2219225;44.02182;0.30090624;0.06624483;0.38622794;0.15628564;2.2465558;0.45519212;0.14380889;0.36934066;0.11583086;6.1026406;0.38963267;0.12999281;0.36838037;0.19582343;185.26552;2.3378353;0.39300007;0.4540914;0.15095863;6982.917;45.99568;6.184383;2.0008156;5.0840836;2681.2317;26.777458;2.8847115;1.8274674;4.384662;1
211.40482;3.899783;1.0264835;0.40208486;0.16593044;2.3210766;0.4809144;0.20450437;0.42102405;0.1513935;513.03656;2.8958797;0.30840066;0.5036464;0.5263379;16078.644;112.09703;12.99633;3.590002;11.457863;143.97856;1.2153412;0.12651396;0.41948646;0.31251055;180.2935;0.85579133;0.26154333;0.84424245;1.3697233;574.347;7.1637273;0.75742584;0.6398628;1.2796279;191.73851;2.03526;0.2951572;0.7955929;1.111957;323.77975;1.8641902;1.524629;0.5465699;0.43079287;283.9242;8.119324;1.0990396;0.77924275;1.2202946;43.48802;0.28803948;0.06853269;0.38159215;0.15678819;2.1925828;0.43605694;0.13950504;0.36652085;0.11592622;5.8823905;0.37627822;0.12420233;0.36340272;0.19753607;184.54378;2.3367493;0.3885781;0.44970384;0.15356575;6922.0107;45.880947;6.112612;2.004459;5.1362414;2644.5984;26.610657;2.8762863;1.8389742;4.46666;1
206.46936;3.7855296;0.9760725;0.40202966;0.16620472;2.3328602;0.4650613;0.20793818;0.41964123;0.15218753;506.32147;2.9219797;0.29222426;0.49301922;0.53491706;15880.245;111.122;12.118614;3.669445;11.364386;143.32365;1.2344258;0.123013705;0.41251484;0.31846672;179.26445;0.83547807;0.25184402;0.85216236;1.3863726;567.0156;7.1244297;0.73377013;0.63524115;1.2983445;189.5156;1.9581232;0.29920107;0.80008495;1.1290696;318.38657;1.8909175;1.4949961;0.54083186;0.4334265;279.15964;7.8939;1.0165342;0.7912859;1.2148279;42.809605;0.2888605;0.07007422;0.37760812;0.15795809;2.1280665;0.42027342;0.13595004;0.36281687;0.11626838;5.6464915;0.36676803;0.12061194;0.3581692;0.19961096;183.05023;2.3336198;0.3799416;0.44654244;0.15554662;6832.3877;45.60136;5.5748043;2.1331923;5.179248;2595.2458;26.568213;2.7007186;1.9185867;4.547317;1
200.58968;3.6080961;0.96570784;0.40951502;0.17022084;2.3444822;0.4579101;0.20936657;0.4174067;0.15255107;497.3817;2.855215;0.3345978;0.49195725;0.54569113;15576.831;119.29439;16.21198;5.657932;14.220269;142.27266;1.2493885;0.1269693;0.40497932;0.32284948;177.18422;0.81991696;0.24748378;0.86387664;1.404517;558.15857;7.0299654;0.78002435;0.63450027;1.309536;186.39737;1.8653944;0.28895465;0.8071157;1.1481694;311.51688;1.9323546;1.5219588;0.5509326;0.44033283;273.02435;7.6094007;1.0453742;0.8073553;1.206391;41.96351;0.29243013;0.07605959;0.3708534;0.15965629;2.056654;0.40529716;0.1320613;0.35816488;0.11644418;5.400319;0.36035988;0.11834208;0.35176098;0.20156308;180.68077;2.2797341;0.37978974;0.44733343;0.15910643;6709.146;43.361206;6.150165;2.416687;5.2270737;2532.3022;25.851082;2.986971;2.0790803;4.6692734;1
193.70068;3.4469209;0.98145753;0.41701758;0.17197667;2.3460884;0.4513469;0.21400754;0.41681516;0.15393865;486.0372;2.8255317;0.3886404;0.5256725;0.5650768;15191.096;157.15388;24.562096;8.886495;17.547129;140.74588;1.2589121;0.13713698;0.39763045;0.3257153;173.93065;0.8106171;0.26632115;0.8728475;1.4215567;547.5274;6.9479117;0.8077639;0.63111794;1.3162583;182.25806;1.7534653;0.31863165;0.81615424;1.167737;303.21912;1.8606772;1.4891546;0.5647496;0.44544628;265.76883;7.4424257;1.0776957;0.82707655;1.1912061;40.965397;0.28154168;0.07956332;0.3685421;0.1607669;1.9824634;0.3887232;0.12743157;0.35295516;0.11651295;5.165019;0.34246743;0.10963957;0.34659225;0.2032325;177.29692;2.2505798;0.399248;0.44922596;0.16317277;6551.514;43.39976;6.975377;2.7731924;5.2682543;2456.0266;25.169584;3.3324668;2.2722702;4.798232;1
